,movie_names,ratings,voting_counts,duration_minutes,genre
321,O Último Papagaio de Timneh,6.771806167400881,0,49,history
322,Zle smierci,6.771806167400881,0,91,history
323,Testimoni del tempo,6.771806167400881,0,91,history
324,Sivestan,6.771806167400881,0,91,history
325,The Way of Internal Strength,6.771806167400881,0,45,history
326,Al Kafi,6.771806167400881,0,110,history
327,Zhambyl: New Era,6.771806167400881,0,92,history
328,Nerah Documaentary Film,6.771806167400881,0,91,history
329,Testimoni del tempo,6.771806167400881,0,91,history
330,Area 2,6.771806167400881,0,91,history
331,The Coastal Map of Britain,6.771806167400881,0,60,history
332,Um Tempo de Todos,6.771806167400881,0,132,history
333,Okufere,6.771806167400881,0,91,history
334,Kabarettistinnen in der Weimarer Republik und im Dritten Reich,6.771806167400881,0,90,history
335,Nancy & Bill: The Story Before Oliver Twist,6.771806167400881,0,91,history
336,International Resonance of the April Uprising,6.771806167400881,0,51,history
337,Drachten Journaals,6.771806167400881,0,51,history
338,"Twin Falls, 2001-2024",6.771806167400881,0,180,history
339,Tatai Patara 1597,6.771806167400881,0,70,history
340,On Air,6.771806167400881,0,91,history
341,The Storm,6.771806167400881,0,165,history
342,"Le Temple d'Hatchepsout, Reine d'Egypte",6.771806167400881,0,91,history
343,Andrew Trimble: For Ulster & Ireland,6.771806167400881,0,91,history
