,movie_names,ratings,voting_counts,duration_minutes,genre
271,La herencia de Flora,5.8,6,134,biography
272,Mini Avengers,6.94281045751634,0,200,biography
273,Louis Riel or Heaven Touches the Earth,6.94281045751634,0,92,biography
274,Qajymuqan,4.8,5,0,biography
275,Who Killed Lawrence of Arabia?,6.5,32,100,biography
276,Italo Svevo. Secret Writing in Trieste,6.94281045751634,0,61,biography
277,Project Alien Earth,8.3,6,0,biography
278,John McAfee,6.94281045751634,0,92,biography
279,The Preacher,6.94281045751634,0,52,biography
280,She Dances by the Sea,6.94281045751634,0,107,biography
281,Gummadi Narsaiah Biopic,6.94281045751634,0,92,biography
282,Cutting Squares,6.94281045751634,0,128,biography
283,Fedya. Narodnyy futbolist,6.0,130,125,biography
284,O familie aproape perfecta,5.5,9,88,biography
285,Beethoven's Nine,7.2,12,90,biography
286,Can You Say... Looking?,6.94281045751634,0,89,biography
287,Ett hjärta är alltid rött,7.1,399,103,biography
288,Butterfly,6.94281045751634,0,92,biography
289,Il ricercatore,6.4,9,71,biography
290,"Cruel, Usual, Necessary: The Passion of Silvio Narizzano",6.94281045751634,0,134,biography
291,"Mary, Marianna, Maria: Ta agnosta ellinika hronia tis Kallas",7.9,16,103,biography
292,Giroud,6.4,25,80,biography
293,Cartas Telepáticas,5.2,37,70,biography
294,Livio Garzanti: Il gran viziato - La morale nascosta di un editore formidabile,6.94281045751634,0,75,biography
295,Parvin,5.5,51,0,biography
296,Iyunskaya polyn,8.7,7,79,biography
297,Zvanetskiy,9.2,7,90,biography
298,O Poeta Rei,6.94281045751634,0,69,biography
299,The Leader,6.94281045751634,0,55,biography
300,Pod szarym niebem,7.3,44,81,biography
301,The Blood Brothers,6.94281045751634,0,94,biography
302,Giannis Spanos: Piso ap' ti markiza,7.8,18,118,biography
303,Saint Pio of Pietrelcina - Man of Hope and Healing,6.94281045751634,0,92,biography
304,"Dolly Parton: Bigger Hair, Bigger Heart",7.4,13,60,biography
305,Janani: The Last Stand,6.94281045751634,0,92,biography
306,Citizen Glenn,6.94281045751634,0,55,biography
307,Not Taken: Origins,9.8,7,69,biography
308,The West Sky,5.1,131,0,biography
309,Im Schatten der Träume,8.2,10,90,biography
310,Davaj Paradiso,9.1,28,63,biography
311,L'amore e la gloria - La giovane Deledda,6.94281045751634,0,105,biography
312,The Story of M,6.94281045751634,0,92,biography
313,The Thousand Colours of the Morning,6.94281045751634,0,68,biography
314,Dushu,6.94281045751634,0,96,biography
315,The Legend of Sudarshan Chakra,8.3,25,160,biography
316,Manyam Dheerudu,5.2,3500,114,biography
317,Brev til Håkon Banken,8.2,30,80,biography
318,Cinema Strada,6.94281045751634,0,106,biography
319,Simply Johanne,6.94281045751634,0,75,biography
320,The Swimming Diaries,6.94281045751634,0,100,biography
321,Queen Elizabeth II: Before the Crown,6.94281045751634,0,45,biography
322,Alyah and the Cove,6.94281045751634,0,100,biography
323,Nema ne mogu,6.94281045751634,0,54,biography
324,Dulcinea,6.94281045751634,0,92,biography
325,Roman Kostomarov. Rozhdennyy dvazhdy,6.94281045751634,0,77,biography
326,Dragon Boy,6.94281045751634,0,23,biography
327,Alí Primera,6.94281045751634,0,92,biography
328,Basketball Jones: The First Chapter,6.94281045751634,0,92,biography
329,Harta Tahta Raisa,4.0,72,110,biography
330,Born Again: George Whitefield,6.94281045751634,0,59,biography
331,Romina,7.5,13,0,biography
332,"Milva, diva per sempre",6.94281045751634,0,89,biography
333,The Razor's Edge,6.94281045751634,0,70,biography
334,"Kati: Eine Kür, die bleibt",6.1,85,99,biography
335,87 Candles,9.0,10,55,biography
336,Our Place Is Here,6.94281045751634,0,54,biography
337,Grow Vasu,6.94281045751634,0,60,biography
338,A Almería de Leone,6.94281045751634,0,51,biography
339,Carles Sabater. No espereu res de mi,8.1,19,75,biography
340,La Joia: Bad Gyal,5.7,88,92,biography
341,Vincenzo Nibali - Il 7° campione,6.94281045751634,0,52,biography
342,Maria,4.2,23,60,biography
