,movie_names,ratings,voting_counts,duration_minutes,genre
240,Killer Witches from Outer Space,6.9,80,0,adventure
241,Kiyma: Orman Kanunlari,3.9,40,81,adventure
242,Tapori Nayak,8.6,19,0,adventure
243,Ivan Tsarevich i Seryy Volk 6,5.7,97,85,adventure
244,Peter Brook's the Mahabharata (8K),6.069212962962963,0,173,adventure
245,LasseMajas detektivbyrå - Maskoten som försvann,6.0,62,90,adventure
246,Bremenskie muzykanty,4.6,691,115,adventure
247,Amazon Bullseye,5.2,216,113,adventure
248,Zak & Wowo: The Legend of Lendarys,5.7,103,85,adventure
249,Letuchiy korabl,3.8,303,100,adventure
250,Rocky Road to Berlin,7.2,1500,104,adventure
251,Tales from the Table,6.069212962962963,0,90,adventure
252,Hain,2.9,49,95,adventure
253,Powder Pup,6.1,78,89,adventure
254,Iron Dusk,5.5,19,0,adventure
255,Spirit Riser,6.6,37,98,adventure
256,Sentinelese,6.069212962962963,0,90,adventure
257,Duffle Bag Boy,6.8,60,0,adventure
258,Güzel Bir Rüya,4.6,47,79,adventure
259,Si Juki the Movie: Harta Pulau Monyet,6.0,127,107,adventure
260,Triple 7: They Said It Couldn't Be Done,8.5,14,97,adventure
261,Tokusou Sentai Dekaranger 20th: Fireball Booster,7.2,36,50,adventure
262,STEVE (A Minecraft Movie),6.9,12,61,adventure
263,Water Park,6.069212962962963,0,25,adventure
264,StarGazer: The Need of the Many,5.0,11,47,adventure
265,Oscar Wilde About America,4.2,33,98,adventure
266,Samaya bolshaya luna,2.5,137,105,adventure
267,Igrisca ne damo!,7.1,30,79,adventure
268,Fuuto PI: Portrait of Kamen Rider Skull,7.5,48,82,adventure
269,Game of Death: The Six Doors to Hell,6.069212962962963,0,145,adventure
270,Tulang Belulang Tulang,7.1,50,95,adventure
271,Friendly Fire,5.3,65,105,adventure
272,Dogman Territory: Werewolves in the Land Between the Lakes,5.6,35,0,adventure
273,Mr. Blue Shirt: The Inspiration,4.8,10,0,adventure
274,The Slave and the Sorcerer,6.7,42,86,adventure
275,The Star City Murders,4.1,145,79,adventure
276,Seeking the King,6.069212962962963,0,90,adventure
277,Art Work,6.069212962962963,0,91,adventure
278,Yolki 11,4.7,177,92,adventure
279,Tay 2: Ebabil Takimi,5.0,44,78,adventure
280,My Redneck Neighbor: Chapter 1 - The Rednecks Are Coming,6.4,10,74,adventure
281,Ognivo,5.5,238,105,adventure
282,Son of the Wolf,6.069212962962963,0,82,adventure
283,Permafrost,5.7,115,80,adventure
284,76 Days Adrift,6.069212962962963,0,105,adventure
285,Kade,6.3,17,92,adventure
286,Mountain Boy,8.3,28,93,adventure
287,Finding Christmas,6.3,14,0,adventure
288,Masha i Medved v kino: Park chudes,7.4,18,58,adventure
289,Kral Sakir: Devler Uyandi,5.3,69,0,adventure
290,Askepote,3.5,84,72,adventure
291,Surge of Power: Where There's Smoke,6.5,13,68,adventure
292,Dead Dead Demon's Dededede Destruction Zenpen,7.1,142,120,adventure
293,Two Breaths,7.9,34,18,adventure
294,The Worlds Divide,7.9,40,120,adventure
295,Steal the Naughty List,6.3,126,90,adventure
296,The Trail,7.8,38,80,adventure
297,Arctic Hollow,2.3,184,70,adventure
