,movie_names,ratings,voting_counts,duration_minutes,genre
208,Wonderful Precure! The Movie! Doki Doki Game no Sekai de Daiboken,6.8,36,71,animation
209,Penelope & Everly's Holiday Adventure,6.625769230769232,0,78,animation
210,Alex and Mia's Awesome Movie!!,6.625769230769232,0,75,animation
211,Spider-Man: Blue,5.8,12,0,animation
212,Kuramerukagari,5.8,84,61,animation
213,Nie Xiaoqian,6.2,18,112,animation
214,The Umbrella Fairy,5.7,61,95,animation
215,Dinosaur Empire,6.625769230769232,0,78,animation
216,Mobile Suit Gundam: Silver Phantom,6.1,13,90,animation
217,Bread Barbershop: Celeb in Bakery Town,6.625769230769232,0,77,animation
218,Pikmin Forever,6.625769230769232,0,78,animation
219,Love and Friendship,6.625769230769232,0,57,animation
220,Code Geass: Rozé of the Recapture: Part 2,7.8,28,76,animation
221,Pleasant Goat and Big Big Wolf: The World Guardians,6.6,16,96,animation
222,Adventures of Mickey Sherlock Mouse & Winnie the Pooh,4.9,12,0,animation
223,Dinonauts,6.625769230769232,0,77,animation
224,Motu Patlu & The Rise of Zombies,6.6,15,74,animation
225,Max Beyond,6.6,18,93,animation
226,Treasure Fellowship,6.625769230769232,0,86,animation
227,Meitantei Conan Bâsasu Kaitô Kiddo,6.1,169,81,animation
228,Arne Alligator och djungelkompisarna,4.6,49,61,animation
229,Zuzubalândia: O Filme,5.4,11,60,animation
230,Jin Ling Yu Mao,7.8,6,97,animation
231,Shed 17 & Project G-1 the Movie,6.625769230769232,0,85,animation
232,Rhythm of a Flower,7.4,15,81,animation
233,Piril: Sayilarin Gizemi,9.0,67,0,animation
234,Gintama the Movie 2D: Courtesan of the Nation Arc,8.0,9,109,animation
235,Luv You Shankar,5.8,44,120,animation
236,Marvel's Civil War Full Comic Dub Movie,6.625769230769232,0,75,animation
237,Bigfoot in Wonderland,6.625769230769232,0,61,animation
238,Code Geass: Rozé of the Recapture: Part 4,6.6,15,70,animation
239,The Ballad of Straw Hat Sam,9.1,10,45,animation
240,Cacophony the Animated Movie,6.625769230769232,0,81,animation
241,The Puffins & the Magic Portal,7.7,32,0,animation
242,King of Prism: Dramatic Prism 1,6.625769230769232,0,60,animation
243,Bartali's Bicycle,7.5,8,80,animation
244,Code Geass: Rozé of the Recapture: Part 3,7.4,25,76,animation
245,Kittened,6.625769230769232,0,78,animation
246,Rabbits Kingdom the Movie,6.625769230769232,0,94,animation
247,The Barkers Pursuit of Adventure,6.625769230769232,0,78,animation
248,Velký Pán,7.0,9,73,animation
249,Eiga Oshiri Tantei Saraba Itoshiki Aibô (Oshiri) yo,6.625769230769232,0,71,animation
250,Bogyó és Babóca 6. - Csengettyuk,7.8,13,0,animation
251,The Car Acrobatic Team Saga,7.2,11,112,animation
252,Robo Puffin,6.625769230769232,0,78,animation
253,Dante's Divine Comedy,6.625769230769232,0,78,animation
254,Gujeyeog-eseo sal-a dol-aon dwaeji,4.8,12,105,animation
255,Daughters of Monster Magnet,6.625769230769232,0,46,animation
256,Dance with the Finless Promise,6.3,20,0,animation
257,Animal Adventures: Save the Forest,7.7,34,85,animation
258,Ugly Sweater,7.1,13,80,animation
259,Bizarros Peixes das Fossas Abissais,8.0,14,75,animation
260,Skazochnyy patrul. Shou prodolzhayetsya,7.2,11,65,animation
261,"Hey, Tete",6.4,9,151,animation
262,Nefertiti the Queen of Hearts,6.625769230769232,0,89,animation
263,The Delegator,4.1,17,96,animation
264,La Familia del Barrio: La Película,4.5,7,0,animation
265,Sunburnt Unicorn,7.7,13,81,animation
266,Be Forever Yamato: Rebel 3199: Part 1: Dark Invasion,7.0,9,50,animation
267,COPS VS WHORES,6.625769230769232,0,57,animation
268,Ekip: Siberay - Günes Firtinasi,6.0,14,72,animation
269,Memory Hotel,6.625769230769232,0,100,animation
