,movie_names,ratings,voting_counts,duration_minutes,genre
232,Buddy,3.8,357,137,adventure
233,My Fathers' Daughter,6.5,83,78,adventure
234,Vertical,5.2,147,111,adventure
235,Next to Us,4.8,229,125,adventure
236,Amazon Bullseye,5.2,218,113,adventure
237,Zak & Wowo: The Legend of Lendarys,5.7,102,85,adventure
238,Bremenskie muzykanty,4.6,694,115,adventure
239,Güzel Bir Rüya,4.6,48,79,adventure
240,Si Juki the Movie: Harta Pulau Monyet,6.0,128,107,adventure
241,I Left My Heart in Colombia,8.4,425,0,adventure
242,Death Game,6.3,26,88,adventure
243,Memes & Nightmares,5.7,92,81,adventure
244,Tapori Nayak,8.6,19,0,adventure
245,StarGazer: The Need of the Many,5.0,12,47,adventure
246,The Epic of Gilgamesh,6.0793103448275865,0,79,adventure
247,Peter Brook's the Mahabharata (8K),6.0793103448275865,0,173,adventure
248,Fuuto PI: Portrait of Kamen Rider Skull,7.4,49,82,adventure
249,Killer Witches from Outer Space,6.9,81,0,adventure
250,Poklad,4.5,46,100,adventure
251,Daye: Seret ahl el Daye,7.9,18,104,adventure
252,Il cammino: Viaggio in Calabria,9.7,6,58,adventure
253,Oscar Wilde About America,4.6,35,98,adventure
254,Spirit Riser,6.6,37,98,adventure
255,Dead Dead Demon's Dededede Destruction,7.1,149,120,adventure
256,Kodaikanal,9.2,71,173,adventure
257,Friendly Fire,6.1,68,105,adventure
258,Kvitebjørn,5.9,76,85,adventure
259,Duffle Bag Boy,6.8,60,0,adventure
260,Sentinelese,6.0793103448275865,0,90,adventure
261,Luigi's Mansion,6.2,19,60,adventure
262,Game of Death: The Six Doors to Hell,6.0793103448275865,0,145,adventure
263,Tulang Belulang Tulang,7.1,50,95,adventure
264,Håkan Bråkan 2,5.3,142,92,adventure
265,Goodbye Hamdi,6.6,12,85,adventure
266,Captain Avispa,5.7,180,96,adventure
267,Powder Pup,6.1,79,89,adventure
268,LasseMajas detektivbyrå - Maskoten som försvann,6.0,64,90,adventure
269,Letuchiy korabl,3.8,303,100,adventure
270,Transformers Prime: Galavatron's Revenge,4.5,16,104,adventure
271,Kade,6.3,17,92,adventure
272,Shadows of Betrayal: Chronicles of Ian Blair,7.5,14,65,adventure
273,Arctic Hollow,2.3,184,70,adventure
274,Champions of the Golden Valley,9.2,78,81,adventure
275,Troy the Bharat Putra,5.5,33,134,adventure
276,Family Vacation,6.6,6,0,adventure
277,Mr. Blue Shirt: The Inspiration,4.8,10,0,adventure
278,Steal the Naughty List,6.2,127,90,adventure
279,Benjamin Bat,7.8,33,75,adventure
280,Permafrost,5.7,115,80,adventure
281,The Slave and the Sorcerer,6.6,43,86,adventure
282,Finding Christmas,6.3,14,0,adventure
283,Dikkie Dik en de Verdwenen Knuffel,7.3,131,62,adventure
284,Cazatesoros,6.4,29,106,adventure
285,Fights Break Sphere 3,5.0,11,81,adventure
286,Tipppsy,8.1,33,115,adventure
287,Kiyma: Orman Kanunlari,3.9,40,81,adventure
288,STEVE (A Minecraft Movie),6.9,12,61,adventure
289,The Secret of Pin-Up Island,7.4,97,107,adventure
290,Masha i Medved v kino: Park chudes,7.4,18,58,adventure
291,The Trail,7.8,38,80,adventure
292,Uttarakaanda,6.0793103448275865,0,90,adventure
293,Satu - Year of the Rabbit,9.0,60,93,adventure
294,Dikkie Dik 2: Een Nieuwe Vriend voor Dikkie Dik,7.4,75,70,adventure
295,The Star City Murders,4.1,146,79,adventure
296,Yaren Leylek,5.4,37,95,adventure
297,Xibalba Monster,6.7,31,76,adventure
298,QAnon Avenue,10.0,7,57,adventure
299,Son of the Wolf,4.0,6,82,adventure
300,Nanoshark,5.6,22,0,adventure
301,Yolki 11,4.7,176,92,adventure
302,Shanghai Story,8.1,65,71,adventure
303,Rocky and Bullwinkle,9.2,16,100,adventure
304,The Yoshi Movie,7.9,14,105,adventure
305,Water Park,6.0793103448275865,0,25,adventure
306,Triple 7: They Said It Couldn't Be Done,8.5,14,97,adventure
307,Askepote,3.5,85,72,adventure
308,My Redneck Neighbor: Chapter 1 - The Rednecks Are Coming,6.4,10,74,adventure
309,Igrisca ne damo!,7.1,30,79,adventure
310,Lion King: A Tale of Mufasa,6.0793103448275865,0,90,adventure
311,Abudeka Is Back,5.4,41,120,adventure
312,Surge of Power: Where There's Smoke,5.9,14,68,adventure
313,Joachim and the Apocalypse,7.5,16,90,adventure
314,Molar,6.0793103448275865,0,117,adventure
315,Iron Dusk,5.2,20,0,adventure
316,Tri kota. Zimnie kanikuly,6.6,35,65,adventure
317,Hain,2.9,51,95,adventure
318,Hope & Glory,6.6,148,44,adventure
319,Die Chaosschwestern und Pinguin Paul,5.6,73,100,adventure
320,Orango,7.3,75,94,adventure
321,The Space in Between,6.0793103448275865,0,90,adventure
322,The Very Last Christmas,8.6,12,75,adventure
323,The Eye of the Salamander,8.4,21,81,adventure
324,Tales from the Table,6.0793103448275865,0,90,adventure
325,Samaya bolshaya luna,2.4,140,105,adventure
326,Stranded Pearl,6.0,27,90,adventure
327,Pui Pui Molcar the Movie: Molmax,7.0,9,69,adventure
328,Mobile Suit Gundam: Silver Phantom,6.1,13,90,adventure
329,Mountain Boy,8.3,28,93,adventure
330,Art Work,6.0793103448275865,0,91,adventure
331,De Legende van Familie Vos,5.7,59,81,adventure
332,Dünya Mali: Eksi Bir,7.2,18,133,adventure
333,Life with Quincy 3,6.0793103448275865,0,73,adventure
334,The Worlds Divide,7.9,40,120,adventure
335,Beyond existence,4.1,23,95,adventure
